Timesteps,Ep_Rew_Mean
904000,198.736116
905000,198.539897
906000,199.150785
907000,199.133168
908000,199.547897
909000,182.56251
910000,188.122216
911000,193.310135
912000,196.269973
913000,186.216589
914000,197.513944
915000,183.757495
916000,196.930038
917000,195.558869
918000,199.458206
919000,198.094394
920000,194.741601
921000,194.221561
922000,198.111546
923000,185.220992
924000,196.867971
925000,177.84185
926000,198.004893
927000,195.709665
928000,198.589495
929000,195.014165
930000,196.510794
931000,188.898408
932000,188.344707
933000,198.80614
934000,197.925177
935000,197.553619
936000,197.766437
937000,198.569599
938000,198.750303
939000,190.123916
940000,199.584663
941000,177.814228
942000,198.751039
943000,196.737925
944000,172.904577
945000,197.868377
946000,191.549884
947000,196.811191
948000,166.008289
949000,196.394672
950000,195.868664
951000,195.914989
952000,196.876559
953000,160.444924
954000,197.101214
955000,167.80152
956000,171.719081
957000,170.168635
958000,160.228863
959000,198.612206
960000,163.330989
961000,197.2171
962000,197.716349
963000,198.322101
964000,198.481462
965000,164.117801
966000,187.608165
967000,199.149126
968000,184.397322
969000,186.360697
970000,185.08225
971000,187.456132
972000,198.679198
973000,198.831495
974000,187.405487
975000,197.382099
976000,197.989399
977000,198.60375
978000,197.89189
979000,190.991338
980000,198.35657
981000,198.27545
982000,197.051005
983000,197.766431
984000,188.533758
985000,195.333545
986000,187.678664
987000,197.261653
988000,165.931611
989000,196.630382
990000,169.832549
991000,169.72955
992000,179.386892
993000,195.816902
994000,195.12756
995000,195.502648
996000,195.206753
997000,190.700556
998000,176.637898
999000,179.893919
1000000,167.700706
1001000,168.337785
1002000,138.887214
1003000,138.402461
