Timesteps,Ep_Rew_Mean
904000,198.017204
905000,198.037663
906000,198.151773
907000,198.600433
908000,195.659
909000,196.725777
910000,195.224722
911000,180.104966
912000,168.050457
913000,195.852206
914000,185.995283
915000,198.619109
916000,197.908094
917000,197.316658
918000,196.284783
919000,196.923321
920000,196.564293
921000,196.583553
922000,196.398783
923000,198.498465
924000,197.959097
925000,198.484397
926000,199.298498
927000,199.747716
928000,198.815262
929000,199.471029
930000,199.262868
931000,198.289221
932000,198.546274
933000,200.17186
934000,199.105856
935000,200.234149
936000,199.055123
937000,200.289181
938000,199.192631
939000,200.017093
940000,193.295899
941000,200.082072
942000,198.216132
943000,200.887429
944000,200.387558
945000,200.673539
946000,199.459218
947000,200.18176
948000,199.692495
949000,197.965141
950000,199.629944
951000,198.018847
952000,199.027784
953000,198.727689
954000,198.66948
955000,198.321921
956000,198.083117
957000,197.489904
958000,197.413574
959000,187.803474
960000,194.806537
961000,194.697582
962000,197.790951
963000,197.844114
964000,198.283233
965000,197.213043
966000,196.879313
967000,198.563935
968000,197.156758
969000,185.962805
970000,192.823612
971000,189.585521
972000,191.326183
973000,189.597132
974000,199.079655
975000,198.732616
976000,194.285872
977000,194.125686
978000,196.001922
979000,195.615628
980000,148.084758
981000,195.84557
982000,196.217291
983000,196.089025
984000,197.44686
985000,196.955466
986000,196.466112
987000,196.434009
988000,196.075583
989000,197.448794
990000,193.186564
991000,192.552492
992000,196.455767
993000,196.259894
994000,195.183829
995000,196.551631
996000,195.844562
997000,192.9713
998000,192.715552
999000,191.366845
1000000,192.917549
1001000,195.326707
1002000,197.590418
1003000,198.036899
