Timesteps,Ep_Rew_Mean
5000,40.719579
10000,43.753352
15000,46.217611
20000,47.009639
25000,51.062364
35000,75.304721
40000,80.191499
45000,80.171342
50000,84.954844
60000,93.568775
70000,93.909512
75000,97.512117
80000,100.417143
85000,113.513777
90000,113.339691
95000,111.058328
110000,120.92567
120000,126.271688
130000,130.992121
145000,135.759746
160000,140.608838
165000,132.164424
170000,142.020462
180000,139.463997
185000,149.560142
190000,147.70969
195000,149.162967
200000,153.079089
205000,152.191735
210000,153.463086
215000,155.938384
220000,157.990726
225000,159.865799
230000,161.105009
235000,156.112571
240000,162.703458
245000,161.538616
250000,162.634702
255000,164.49829
260000,166.804002
265000,166.871456
270000,165.104322
275000,164.465426
280000,167.038271
285000,168.269067
290000,170.317505
295000,169.66304
300000,170.155606
305000,169.468182
310000,172.247604
315000,172.804531
320000,174.474415
325000,173.753402
330000,175.579934
335000,175.965417
345000,176.258931
350000,176.923426
355000,178.385756
360000,178.631401
365000,180.355616
370000,179.926704
375000,178.79242
380000,181.53248
385000,179.578945
390000,182.112876
395000,182.511318
400000,182.049012
405000,183.186901
410000,182.729343
415000,185.121414
420000,185.576357
425000,185.220751
430000,183.904007
435000,186.365432
440000,186.166111
445000,186.437173
450000,186.892354
455000,184.538215
460000,188.698771
465000,189.70231
470000,190.202144
475000,187.510573
480000,190.075019
485000,190.268774
495000,191.329993
500000,190.803966
505000,189.075422
510000,192.527499
520000,192.374068
525000,193.427204
530000,193.180369
535000,193.592769
540000,194.356599
545000,195.648492
550000,194.695537
555000,195.414791
560000,195.404809
565000,193.581524
570000,195.208218
575000,195.529651
580000,195.959704
585000,197.017511
590000,195.976652
595000,197.824628
600000,197.728525
605000,197.602011
615000,198.028948
620000,197.617251
625000,197.307575
630000,198.633832
635000,198.370594
640000,199.032712
645000,198.009857
660000,198.629913
665000,198.856286
670000,197.990928
675000,197.656225
680000,198.678417
690000,196.206885
695000,197.323337
700000,197.945482
705000,197.847944
710000,199.022042
715000,198.640658
720000,199.143237
725000,199.105899
730000,198.86453
735000,197.837784
745000,199.383855
750000,198.011075
765000,194.744592
770000,198.912039
775000,197.031763
780000,198.18543
785000,199.8419
790000,199.576501
795000,200.104921
800000,198.724399
805000,200.254746
810000,199.096327
815000,199.318189
820000,197.888797
825000,197.658933
830000,197.539504
835000,198.962243
840000,199.311733
845000,198.012918
850000,199.286398
855000,200.185889
860000,200.223075
865000,200.488218
875000,197.927243
880000,199.34245
885000,198.122973
890000,198.792907
895000,199.704378
900000,199.517163
905000,199.541567
910000,200.473768
915000,201.056424
920000,201.456625
925000,200.604911
935000,196.266417
940000,201.409729
945000,200.642416
950000,201.172941
955000,197.161339
960000,201.746082
965000,197.21749
975000,196.219073
980000,198.8443
985000,201.445025
990000,200.133804
995000,199.249221
1000000,200.724237
1005000,196.861442
1010000,200.297148
1015000,199.234366
1025000,192.075349
1035000,196.815091
1040000,193.404294
1045000,197.336614
1050000,197.792
1055000,198.666742
1065000,201.286242
1075000,200.476062
1080000,200.869759
1085000,200.025478
1090000,201.28408
1095000,202.353488
1100000,202.435955
1105000,197.576159
1110000,202.501571
1120000,202.714443
1125000,201.883792
1130000,202.649619
1135000,201.732978
1140000,202.646807
1145000,200.131862
1155000,200.899645
1160000,200.741908
1165000,202.765327
1170000,196.78505
1175000,197.997048
1180000,200.322483
1185000,198.16476
1190000,202.046799
1205000,202.90221
1210000,202.15458
1215000,202.176403
1230000,201.799173
1235000,202.058235
1240000,201.796885
1245000,201.146102
1250000,199.223057
1255000,202.663044
1265000,201.879613
1270000,200.36658
1275000,201.354702
1280000,200.924369
1285000,201.341822
1290000,200.858762
1295000,200.46067
1305000,200.44788
1310000,201.014191
1315000,200.838713
1320000,201.927471
1330000,199.076969
1335000,198.861284
1340000,199.847584
1345000,198.49709
1355000,198.094273
1360000,194.306603
1370000,196.932095
1380000,196.099871
1390000,198.159849
1395000,197.035166
1415000,194.695216
1425000,198.622566
1435000,197.249054
1440000,199.047217
1445000,198.676667
1450000,196.958402
1465000,194.969292
1470000,195.968223
1475000,196.631687
1480000,199.520231
1485000,196.676463
1490000,198.998761
1495000,198.45694
1500000,199.405953
