Timesteps,Ep_Rew_Mean
1300500,200.803477
1301000,200.324837
1301500,155.863772
1302000,158.343936
1302500,200.480391
1303000,200.83494
1303500,200.701392
1304000,200.070125
1304500,200.581675
1305000,200.44788
1305500,201.378596
1306000,200.025369
1306500,201.893074
1307000,200.029517
1307500,200.851402
1308000,201.706705
1308500,201.513236
1309000,202.273701
1309500,201.137797
1310000,201.014191
1310500,201.674025
1311000,201.112534
1311500,161.765491
1312000,199.796787
1312500,201.041934
1313000,201.178335
1313500,194.789609
1314000,201.239373
1314500,200.28565
1315000,200.838713
1315500,177.403631
1316000,175.179398
1316500,198.684482
1317000,199.102707
1317500,202.311625
1318000,199.386447
1318500,165.367546
1319000,199.014732
1319500,199.84861
1320000,201.927471
1320500,201.749436
1321000,202.048423
1321500,202.423599
1322000,201.860695
1322500,202.137303
1323000,201.832641
1323500,199.085431
1324000,200.282416
1324500,164.543815
1325000,192.799494
1325500,194.634106
1326000,200.598217
1326500,166.315127
1327000,162.816971
1327500,198.281717
1328000,198.877632
1328500,169.669238
1329000,198.696057
1329500,196.82361
1330000,199.076969
1330500,197.108673
1331000,201.285556
1331500,198.919454
1332000,196.31039
1332500,196.28535
1333000,199.067103
1333500,199.25285
1334000,199.22107
1334500,198.728205
1335000,198.861284
1335500,156.937522
1336000,199.09342
1336500,200.030119
1337000,199.634978
1337500,199.981943
1338000,197.059736
1338500,197.857765
1339000,198.897826
1339500,196.913973
1340000,199.847584
1340500,200.876105
1341000,196.036896
1341500,200.167956
1342000,200.684536
1342500,198.579117
1343000,179.027607
1343500,192.795666
1344000,186.779588
1344500,197.750531
1345000,198.49709
1345500,186.012553
1346000,197.010816
1346500,199.990785
1347000,188.315557
1347500,199.434167
1348000,176.238208
1348500,200.158623
1349000,198.652423
1349500,197.157168
1350000,177.266964
1350500,198.629336
1351000,200.954811
1351500,161.503661
1352000,173.907461
1352500,198.909814
1353000,170.475755
1353500,198.835832
1354000,200.813683
1354500,201.111689
1355000,198.094273
1355500,199.286752
1356000,200.080418
1356500,199.421543
1357000,198.834912
1357500,201.081864
1358000,197.403594
1358500,187.347253
1359000,197.75232
1359500,200.955128
1360000,194.306603
1360500,196.170618
1361000,198.62326
1361500,197.564692
1362000,200.928817
1362500,186.376193
1363000,194.845091
1363500,152.460563
1364000,198.044528
1364500,194.912811
1365000,170.767417
1365500,199.593973
1366000,179.653212
1366500,188.63302
1367000,137.292351
1367500,196.159425
1368000,174.121365
1368500,199.757309
1369000,195.034866
1369500,197.027866
1370000,196.932095
1370500,196.617278
1371000,196.905176
1371500,188.096271
1372000,175.76857
1372500,196.942062
1373000,194.374397
1373500,196.376843
1374000,177.719265
1374500,194.665224
1375000,181.737207
1375500,196.225882
1376000,197.282647
1376500,177.776141
1377000,195.359805
1377500,198.787877
1378000,187.520681
1378500,196.653075
1379000,192.402056
1379500,180.276892
1380000,196.099871
1380500,191.493555
1381000,197.587323
1381500,180.907264
1382000,194.993477
1382500,197.877652
1383000,152.109156
1383500,159.91179
1384000,195.793752
1384500,196.377722
1385000,182.076309
1385500,160.899805
1386000,197.624516
1386500,196.907984
1387000,183.352867
1387500,198.060563
1388000,193.061804
1388500,197.193857
1389000,196.960727
1389500,193.050658
1390000,198.159849
1390500,195.195668
1391000,180.646624
1391500,195.088481
1392000,195.283639
1392500,197.75224
1393000,196.812333
1393500,195.605829
1394000,197.049096
1394500,189.333828
1395000,197.035166
1395500,187.302897
1396000,199.028255
1396500,197.332515
1397000,198.804953
1397500,188.693993
1398000,198.065026
1398500,172.048527
1399000,196.533793
1399500,188.185212
1400000,181.814962
