Timesteps,Ep_Rew_Mean
900500,198.097967
901000,197.821901
901500,197.830444
902000,197.047506
902500,198.42809
903000,198.873608
903500,195.639681
904000,195.283954
904500,172.461705
905000,192.933071
905500,192.558524
906000,195.835619
906500,194.504158
907000,198.270657
907500,174.11398
908000,199.17369
908500,189.758391
909000,199.498421
909500,199.277859
910000,197.182016
910500,199.026816
911000,199.318089
911500,198.164099
912000,198.754567
912500,198.644906
913000,196.086172
913500,197.437386
914000,190.344595
914500,197.724989
915000,197.761041
915500,173.331469
916000,192.94999
916500,196.16967
917000,197.387221
917500,196.45372
918000,198.070767
918500,197.014797
919000,197.957988
919500,197.772765
920000,197.163674
920500,197.852799
921000,197.947718
921500,198.470638
922000,196.782266
922500,198.931835
923000,199.301789
923500,198.356172
924000,198.37627
924500,198.932785
925000,199.50685
925500,199.260198
926000,199.484205
926500,199.717682
927000,198.490307
927500,198.912437
928000,199.925619
928500,198.897206
929000,198.748377
929500,199.659946
930000,199.701083
930500,199.746559
931000,199.793916
931500,200.06254
932000,198.813151
932500,199.42901
933000,199.756342
933500,199.697436
934000,199.548918
934500,199.409206
935000,199.135695
935500,198.403401
936000,199.637525
936500,199.461329
937000,199.495754
937500,199.402318
938000,198.964436
938500,198.905944
939000,198.036183
939500,198.002909
940000,198.083883
940500,199.262119
941000,199.432121
941500,199.418089
942000,199.550913
942500,198.966324
943000,199.753109
943500,199.95246
944000,197.644356
944500,199.828648
945000,200.173308
945500,199.888832
946000,200.054965
946500,199.203278
947000,200.052849
947500,199.822335
948000,200.247213
948500,200.099283
949000,199.934322
949500,200.306227
950000,200.208556
950500,199.957347
951000,197.588717
951500,200.139695
952000,199.294891
952500,199.908213
953000,200.371583
953500,199.638869
954000,199.302972
954500,199.368264
955000,200.197734
955500,199.881629
956000,199.931053
956500,200.277129
957000,200.042962
957500,199.589288
958000,200.397189
958500,200.302699
959000,197.566402
959500,200.390325
960000,200.8063
960500,200.101222
961000,200.399004
961500,200.717824
962000,200.098844
962500,200.560231
963000,198.196941
963500,200.165492
964000,199.794223
964500,200.066047
965000,200.235208
965500,197.461057
966000,198.278862
966500,200.458342
967000,199.732939
967500,199.643748
968000,200.208569
968500,200.312331
969000,187.170471
969500,200.607146
970000,199.891118
970500,200.075045
971000,200.055213
971500,200.005169
972000,200.239642
972500,199.492938
973000,200.204742
973500,200.387857
974000,200.422522
974500,200.409762
975000,200.344259
975500,194.058992
976000,200.161576
976500,199.919521
977000,200.130905
977500,199.809974
978000,199.681538
978500,199.923544
979000,200.019286
979500,199.472214
980000,199.96197
980500,199.99865
981000,199.555171
981500,199.558201
982000,199.826619
982500,199.929285
983000,200.068913
983500,199.55485
984000,199.858573
984500,199.5573
985000,200.214463
985500,200.157799
986000,200.645126
986500,200.328368
987000,200.209671
987500,199.804399
988000,199.254122
988500,193.575596
989000,199.766784
989500,199.314991
990000,200.239751
990500,187.833668
991000,199.809552
991500,199.004876
992000,199.334294
992500,199.5438
993000,198.432679
993500,199.412922
994000,199.793478
994500,199.547633
995000,189.931631
995500,199.537606
996000,194.098524
996500,199.433222
997000,199.603141
997500,199.542937
998000,199.486114
998500,199.594495
999000,199.588936
999500,199.20173
1000000,200.212058
