Timesteps,Ep_Rew_Mean
500,41.218722
1000,40.155612
1500,40.18732
2000,41.139136
2500,41.147469
3000,41.984843
3500,41.891485
4000,40.600706
4500,41.171233
5000,42.563542
5500,41.424317
6000,42.993087
6500,40.760307
7000,42.51714
7500,42.538605
8000,43.361779
8500,43.050095
9000,42.753713
9500,43.575189
10000,43.0564
10500,42.78636
11000,43.641872
11500,42.522888
12000,41.766243
12500,42.598871
13000,42.432262
13500,43.422158
14000,42.794471
14500,43.780792
15000,42.975457
15500,43.009952
16000,43.518831
16500,42.471302
17000,44.022057
17500,43.027534
18000,44.025527
18500,44.021332
19000,43.272461
19500,43.571272
20000,44.890652
20500,43.647526
21000,42.619556
21500,45.264519
22000,46.302981
22500,44.342999
23000,45.302491
23500,44.730181
24000,44.480346
24500,43.778777
25000,46.553771
25500,45.792946
26000,43.693085
26500,45.65119
27000,44.963609
27500,45.716603
28000,44.113057
28500,45.461559
29000,45.885282
29500,47.76963
30000,45.984591
30500,45.438851
31000,45.966063
31500,46.487661
32000,46.096929
32500,45.709044
33000,47.222053
33500,47.000377
34000,46.81478
34500,47.549326
35000,47.138404
35500,47.839191
36000,46.794943
36500,45.813673
37000,48.379333
37500,46.836357
38000,47.333213
38500,47.772862
39000,46.411765
39500,49.399755
40000,48.721426
40500,49.208581
41000,46.947824
41500,48.368566
42000,47.391568
42500,49.879649
43000,49.135522
43500,49.309194
44000,48.713488
44500,49.088334
45000,48.617131
45500,48.8001
46000,47.239019
46500,51.615735
47000,47.236472
47500,49.902228
48000,50.3657
48500,57.64457
49000,51.264688
49500,49.979186
50000,50.199949
50500,50.254871
51000,52.297807
51500,50.29306
52000,52.39491
52500,49.362794
53000,51.918337
53500,49.749259
54000,52.418496
54500,53.363789
55000,52.30553
55500,54.245045
56000,55.607706
56500,52.490158
57000,59.934456
57500,53.748501
58000,51.328046
58500,53.108127
59000,53.275426
59500,51.6767
60000,51.442624
60500,54.902891
61000,53.477894
61500,54.004764
62000,63.408314
62500,57.054499
63000,56.312061
63500,54.094373
64000,53.464766
64500,59.982498
65000,56.97597
65500,55.16787
66000,64.384746
66500,59.494132
67000,62.916141
67500,61.765274
68000,58.154352
68500,58.478936
69000,74.645805
69500,57.6896
70000,55.970668
70500,69.122954
71000,61.837003
71500,72.348722
72000,74.441379
72500,69.463109
73000,62.39986
73500,73.42091
74000,58.724686
74500,69.141878
75000,73.426753
75500,70.115379
76000,75.753751
76500,59.117535
77000,71.209283
77500,67.209636
78000,77.884143
78500,70.052482
79000,69.133158
79500,72.144023
80000,80.817745
80500,76.893966
81000,69.293861
81500,77.133332
82000,79.475298
82500,73.396873
83000,81.670467
83500,68.417292
84000,81.31796
84500,87.9103
85000,75.055074
85500,80.189224
86000,78.526342
86500,87.502611
87000,87.104322
87500,83.240166
88000,83.736121
88500,83.687698
89000,85.224144
89500,110.478949
90000,84.143567
90500,88.547698
91000,93.727768
91500,90.304841
92000,84.631268
92500,87.923888
93000,90.67517
93500,92.500743
94000,92.0644
94500,91.484291
95000,84.771926
95500,87.078234
96000,75.572122
96500,90.671518
97000,89.699552
97500,72.999851
98000,88.99307
98500,86.097317
99000,88.110111
99500,91.843602
100000,89.885974
100500,90.627674
101000,89.715227
101500,83.768251
102000,82.573707
102500,91.306037
103000,101.629573
103500,100.524873
104000,81.535586
104500,94.200805
105000,97.49511
105500,88.975154
106000,85.290817
106500,88.994348
107000,99.564335
107500,95.823391
108000,93.830952
108500,101.444669
109000,95.63303
109500,100.322454
110000,109.243479
110500,100.788975
111000,98.077421
111500,94.198827
112000,91.732524
112500,86.946303
113000,101.573956
113500,103.59577
114000,103.506189
114500,112.632897
115000,100.828981
115500,119.840547
116000,101.524269
116500,98.98936
117000,104.342888
117500,100.711453
118000,105.41294
118500,95.628695
119000,104.381498
119500,117.686978
120000,107.789368
120500,95.085878
121000,92.081074
121500,99.904394
122000,113.383499
122500,88.619042
123000,114.485399
123500,116.753178
124000,108.821539
124500,108.781422
125000,104.992371
125500,117.877334
126000,103.559033
126500,105.269041
127000,109.5821
127500,105.23448
128000,115.361499
128500,113.329092
129000,101.375
129500,118.253119
130000,104.195149
130500,114.776743
131000,78.764378
131500,120.078388
132000,119.2767
132500,100.7947
133000,120.340887
133500,117.398425
134000,114.787353
134500,116.101856
135000,122.323734
135500,115.858406
136000,90.459046
136500,98.1908
137000,97.917322
137500,90.736341
138000,123.962913
138500,112.618969
139000,85.597641
139500,113.065738
140000,118.345837
140500,103.050826
141000,116.978653
141500,104.635029
142000,121.038874
142500,117.050079
143000,119.16296
143500,119.55321
144000,109.294274
144500,114.319605
145000,118.808557
145500,117.67541
146000,116.653709
146500,114.674739
147000,108.303844
147500,118.096235
148000,121.848049
148500,119.228882
149000,120.872315
149500,121.487171
150000,103.328802
150500,113.993957
151000,125.638353
151500,126.692014
152000,118.85746
152500,121.053014
153000,119.044006
153500,118.702131
154000,96.092382
154500,122.681167
155000,122.367806
155500,97.132702
156000,123.032233
156500,121.148141
157000,124.088253
157500,119.461345
158000,125.245477
158500,126.945385
159000,123.338018
159500,124.934825
160000,118.731324
160500,126.019626
161000,122.510924
161500,122.655761
162000,120.395852
162500,126.019472
163000,124.958069
163500,108.92461
164000,121.758724
164500,126.357507
165000,124.329391
165500,123.72348
166000,125.080312
166500,124.948745
167000,123.585134
167500,122.766275
168000,127.031166
168500,120.697083
169000,126.79131
169500,130.364554
170000,128.778228
170500,128.302924
171000,126.872227
171500,126.225015
172000,110.059694
172500,102.663927
173000,129.808252
173500,125.47093
174000,125.372911
174500,132.346646
175000,130.044581
175500,130.207705
176000,123.203407
176500,128.468264
177000,129.938825
177500,130.87995
178000,126.712887
178500,129.663656
179000,131.4671
179500,94.236755
180000,127.756567
180500,128.102031
181000,125.795172
181500,128.861042
182000,129.354558
182500,128.923468
183000,116.175775
183500,128.211213
184000,129.350144
184500,130.581863
185000,131.645529
185500,126.296467
186000,128.663743
186500,132.500749
187000,129.800012
187500,127.984634
188000,131.320738
188500,130.99754
189000,130.951769
189500,127.43678
190000,131.096171
190500,133.059163
191000,129.211825
191500,130.385539
192000,129.605371
192500,129.348339
193000,132.52264
193500,131.738098
194000,135.203002
194500,132.365281
195000,131.486634
195500,129.227784
196000,130.198233
196500,133.904203
197000,134.116839
197500,134.558838
198000,128.432926
198500,131.860271
199000,134.261249
199500,131.956818
200000,135.397539
200500,134.719816
201000,133.896143
201500,132.894015
202000,134.168741
202500,133.012421
203000,132.813267
203500,134.686325
204000,128.956197
204500,136.219317
205000,133.138952
205500,138.462222
206000,133.201203
206500,134.950341
207000,139.057033
207500,137.701384
208000,140.378808
208500,123.849655
209000,139.686629
209500,140.041674
210000,136.32178
210500,138.578528
211000,136.154173
211500,137.10974
212000,137.036922
212500,137.796812
213000,137.3283
213500,138.494925
214000,133.828052
214500,139.474206
215000,125.676129
215500,135.448216
216000,142.05744
216500,139.444871
217000,139.953744
217500,136.165013
218000,131.450985
218500,136.692712
219000,138.131714
219500,135.636318
220000,140.091328
220500,139.426988
221000,137.316529
221500,141.948769
222000,140.0997
222500,140.94894
223000,142.21833
223500,139.363103
224000,133.729073
224500,141.267942
225000,143.350709
225500,139.095263
226000,138.341813
226500,140.156918
227000,131.020483
227500,139.868392
228000,132.293608
228500,142.233647
229000,140.721596
229500,138.560159
230000,130.232414
230500,146.483775
231000,143.718893
231500,137.791666
232000,143.31927
232500,137.228548
233000,144.966939
233500,141.850535
234000,142.925188
234500,138.640981
235000,142.139152
235500,142.836041
236000,133.692349
236500,132.80703
237000,142.41436
237500,141.140419
238000,140.316444
238500,144.272934
239000,140.139096
239500,137.72844
240000,143.067698
240500,143.451896
241000,140.635397
241500,143.426784
242000,148.728351
242500,140.740676
243000,145.19905
243500,144.721798
244000,130.476563
244500,139.206664
245000,138.767908
245500,143.047412
246000,140.414046
246500,142.734561
247000,143.831349
247500,147.527371
248000,146.010051
248500,148.023537
