Timesteps,Ep_Rew_Mean
1400500,200.131037
1401000,183.182575
1401500,201.403622
1402000,201.535757
1402500,201.44735
1403000,201.239072
1403500,201.783528
1404000,201.785994
1404500,202.048737
1405000,201.441039
1405500,201.727337
1406000,201.347061
1406500,201.77488
1407000,200.828787
1407500,196.996521
1408000,199.299261
1408500,201.123159
1409000,195.35625
1409500,196.143884
1410000,180.738086
1410500,175.51771
1411000,199.009538
1411500,201.888985
1412000,192.2687
1412500,201.805848
1413000,175.644888
1413500,186.063071
1414000,201.454204
1414500,183.113468
1415000,187.797272
1415500,181.133574
1416000,200.742087
1416500,200.352813
1417000,201.802398
1417500,201.301325
1418000,201.508563
1418500,201.812443
1419000,201.180045
1419500,201.80584
1420000,200.828476
1420500,199.961117
1421000,200.678114
1421500,201.200013
1422000,198.543368
1422500,189.00518
1423000,201.715879
1423500,201.166616
1424000,201.39681
1424500,200.383388
1425000,194.531674
1425500,201.12798
1426000,198.460441
1426500,200.679516
1427000,200.991987
1427500,201.568814
1428000,201.831061
1428500,197.876758
1429000,181.931388
1429500,201.935634
1430000,188.595378
1430500,200.347212
1431000,200.294157
1431500,201.312404
1432000,202.070965
1432500,202.12054
1433000,200.587986
1433500,198.506293
1434000,200.362355
1434500,200.934718
1435000,200.782249
1435500,174.377234
1436000,201.678406
1436500,201.181116
1437000,200.922312
1437500,201.439836
1438000,199.98765
1438500,201.048825
1439000,200.354605
1439500,199.483012
1440000,198.109559
1440500,198.967631
1441000,199.128939
1441500,197.4768
1442000,198.366352
1442500,200.111575
1443000,200.798036
1443500,200.095089
1444000,202.26065
1444500,202.013927
1445000,201.515986
1445500,201.687178
1446000,202.097044
1446500,202.236785
1447000,201.600764
1447500,200.770265
1448000,198.2854
1448500,202.02823
1449000,201.877681
1449500,202.291431
1450000,201.755963
1450500,196.385831
1451000,202.165844
1451500,201.551444
1452000,191.364631
1452500,201.717528
1453000,202.582728
1453500,202.094332
1454000,195.994013
1454500,192.264115
1455000,202.228903
1455500,202.624651
1456000,202.372224
1456500,202.819216
1457000,202.392553
1457500,202.217653
1458000,201.04644
1458500,203.022551
1459000,202.844922
1459500,202.991588
1460000,202.286482
1460500,202.124448
1461000,202.653188
1461500,203.285858
1462000,202.814225
1462500,200.688095
1463000,202.849226
1463500,203.106064
1464000,202.906731
1464500,203.272135
1465000,203.204213
1465500,203.443342
1466000,202.688653
1466500,203.193942
1467000,203.187995
1467500,202.553608
1468000,203.111447
1468500,203.604079
1469000,203.57945
1469500,203.280204
1470000,203.227734
1470500,203.240109
1471000,203.491456
1471500,203.564162
1472000,203.45267
1472500,203.419982
1473000,199.587779
1473500,203.735138
1474000,203.126567
1474500,203.571604
1475000,192.376776
1475500,202.616054
1476000,203.355479
1476500,203.197846
1477000,203.417461
1477500,193.84142
1478000,203.080147
1478500,203.309154
1479000,202.588232
1479500,202.376232
1480000,202.73815
1480500,202.903841
1481000,203.363533
1481500,203.297741
1482000,202.485681
1482500,202.082137
1483000,202.990281
1483500,203.505693
1484000,202.907989
1484500,202.865902
1485000,203.153676
1485500,200.337075
1486000,202.8862
1486500,199.879252
1487000,202.919444
1487500,202.699984
1488000,202.848768
1488500,197.167984
1489000,203.107692
1489500,190.723462
1490000,200.176516
1490500,201.427373
1491000,202.569201
1491500,201.326147
1492000,203.393897
1492500,202.629241
1493000,202.719939
1493500,203.1797
1494000,203.243862
1494500,203.271207
1495000,202.540315
1495500,202.864672
1496000,203.078878
1496500,202.890815
1497000,202.985058
1497500,203.220506
1498000,203.107142
1498500,202.468698
1499000,202.893951
1499500,203.761214
1500000,203.48701
