Timesteps,Ep_Rew_Mean
500,40.542787
1000,40.991485
1500,40.942564
2000,40.980235
2500,42.140758
3000,41.661812
3500,40.862752
4000,40.743604
4500,42.460994
5000,43.387268
5500,42.668314
6000,41.051944
6500,41.199834
7000,41.534128
7500,40.230915
8000,42.135061
8500,42.727211
9000,42.427202
9500,41.416507
10000,41.702884
10500,41.193507
11000,42.316847
11500,41.920264
12000,41.654208
12500,41.110854
13000,40.326154
13500,41.854554
14000,42.125624
14500,42.091596
15000,41.675631
15500,41.497331
16000,41.021756
16500,41.832126
17000,43.078733
17500,41.994088
18000,42.985129
18500,42.97212
19000,41.79064
19500,41.928424
20000,42.654865
20500,42.232128
21000,42.311668
21500,42.11152
22000,42.2412
22500,41.898682
23000,43.929884
23500,41.988037
24000,43.314729
24500,41.266517
25000,41.717752
25500,43.320505
26000,42.551192
26500,42.453466
27000,42.545454
27500,42.368645
28000,42.485901
28500,41.951334
29000,42.727093
29500,42.57817
30000,42.230972
30500,42.72247
31000,44.273424
31500,42.100493
32000,43.474013
32500,43.722185
33000,43.259832
33500,42.622815
34000,43.294924
34500,42.79375
35000,44.286894
35500,44.314895
36000,43.86837
36500,43.76518
37000,44.430776
37500,43.292916
38000,44.552916
38500,43.516016
39000,43.16806
39500,42.832505
40000,44.296167
40500,43.375866
41000,44.568581
41500,43.862029
42000,44.884622
42500,43.608713
43000,43.354967
43500,42.406547
44000,43.31774
44500,43.886905
45000,43.935304
45500,44.277268
46000,44.188645
46500,43.518238
47000,45.588905
47500,44.440382
48000,43.855732
48500,45.153164
49000,45.176025
49500,44.503562
50000,44.068545
50500,44.886183
51000,45.093297
51500,44.606458
52000,43.636299
52500,45.737232
53000,44.311737
53500,44.858686
54000,44.336635
54500,45.153305
55000,44.607642
55500,46.049292
56000,46.349146
56500,44.242325
57000,45.419132
57500,45.77713
58000,44.677288
58500,45.028439
59000,46.117575
59500,46.399568
60000,46.28916
60500,45.274849
61000,45.767357
61500,45.014546
62000,45.440747
62500,46.005084
63000,46.213339
63500,45.377296
64000,45.711406
64500,45.232612
65000,44.711681
65500,45.675073
66000,46.737865
66500,46.301853
67000,46.792086
67500,45.985683
68000,46.587863
68500,45.090986
69000,45.37824
69500,46.485158
70000,46.690851
70500,47.487023
71000,47.090028
71500,47.347447
72000,46.671424
72500,47.32667
73000,45.641089
73500,46.33149
74000,46.768149
74500,45.964369
75000,47.548822
75500,46.999354
76000,45.720228
76500,47.493008
77000,47.373624
77500,47.264006
78000,46.811867
78500,47.318617
79000,47.909809
79500,48.299008
80000,47.150191
