Timesteps,Ep_Rew_Mean
500,41.48612
1000,41.33104
1500,41.108462
2000,43.119527
2500,42.858053
3000,41.552306
3500,42.144852
4000,42.538918
4500,41.390992
5000,42.8372
5500,41.423047
6000,43.22021
6500,41.549521
7000,43.306431
7500,41.992602
8000,44.169852
8500,42.527333
9000,43.50989
9500,43.735769
10000,45.259664
10500,42.28913
11000,45.149754
11500,45.170845
12000,44.240566
12500,44.806203
13000,46.987557
13500,45.500427
14000,43.584833
14500,46.215827
15000,44.693478
15500,45.369191
16000,47.533905
16500,45.62026
17000,45.327594
17500,47.191153
18000,46.469681
18500,47.818359
19000,49.804166
19500,49.426625
20000,50.885693
20500,47.37498
21000,49.304357
21500,48.839943
22000,46.982992
22500,48.356705
23000,51.466194
23500,53.536985
24000,54.572913
24500,50.476809
25000,56.863787
25500,54.494875
26000,53.901972
26500,55.225726
27000,68.380613
27500,59.863965
28000,55.04995
28500,58.817429
29000,58.785311
29500,70.527777
30000,57.825372
30500,57.955555
31000,58.801633
31500,69.879852
32000,64.931588
32500,57.161223
33000,69.202081
33500,60.095441
34000,59.686746
34500,63.28809
35000,69.933169
35500,67.589623
36000,69.294956
36500,66.548868
37000,65.875771
37500,68.381879
38000,73.761673
38500,72.173108
39000,74.532181
39500,73.302074
40000,68.124271
40500,79.485649
41000,73.616688
41500,75.291242
42000,75.328273
42500,79.199055
43000,78.810258
43500,79.09738
44000,70.656423
44500,76.376337
45000,81.576581
45500,85.298141
46000,82.995806
46500,76.768089
47000,82.486409
47500,87.014984
48000,83.881582
48500,83.557787
49000,80.24182
49500,87.209431
50000,84.551557
50500,85.165121
51000,83.203461
51500,91.087085
52000,85.594283
52500,99.699318
53000,84.139994
53500,83.164892
54000,87.876061
54500,86.895994
55000,86.928935
55500,78.476587
56000,84.468131
56500,93.283848
57000,85.846229
57500,91.411684
58000,91.551786
58500,87.671765
59000,93.650952
59500,90.62383
60000,90.709783
60500,79.00373
61000,101.202264
61500,89.9711
62000,92.629758
62500,89.640909
63000,93.051481
63500,90.836388
64000,100.461936
64500,96.023791
65000,92.457567
65500,98.911114
66000,94.061644
66500,93.160329
67000,95.011813
67500,91.264187
68000,93.768425
68500,91.633394
69000,100.962217
69500,102.353847
70000,85.947194
70500,97.211877
71000,104.581801
71500,101.980043
72000,99.108841
72500,108.471075
73000,97.808424
73500,107.072494
74000,97.055538
74500,110.671269
75000,97.934436
75500,99.377947
76000,100.241522
76500,104.694947
77000,105.184327
77500,106.726008
78000,110.177747
78500,97.610249
79000,98.350738
79500,97.820961
80000,98.130619
80500,98.014116
81000,115.643847
81500,115.338989
82000,106.786642
82500,99.244962
83000,113.331607
83500,107.86753
84000,116.68716
84500,118.374447
