Timesteps,Ep_Rew_Mean
300500,166.366855
301000,166.42163
301500,166.88071
302000,166.895831
302500,163.386369
303000,163.586681
303500,167.097355
304000,165.645454
304500,167.847286
305000,166.370408
305500,167.970789
306000,165.636782
306500,167.189525
307000,166.879845
307500,168.336996
308000,166.734412
308500,166.561092
309000,167.33675
309500,168.73411
310000,170.153292
310500,169.173513
311000,168.945984
311500,168.03943
312000,165.262534
312500,168.201462
313000,166.631273
313500,165.067466
314000,168.802108
314500,168.8971
315000,165.278988
315500,169.344828
316000,170.101299
316500,166.765869
317000,168.23645
317500,170.776255
318000,167.917392
318500,168.984728
319000,167.185024
319500,168.867638
320000,170.892316
320500,169.080974
321000,168.77454
321500,169.5322
322000,171.87025
322500,170.594796
323000,169.712137
323500,172.339325
324000,169.552254
324500,168.619631
325000,168.512767
325500,168.925004
326000,168.143614
326500,170.101724
327000,170.90904
327500,171.097203
328000,170.650372
328500,171.338476
329000,168.614706
329500,171.185366
330000,171.816638
330500,169.040803
331000,172.907023
331500,171.484808
332000,171.322796
332500,169.300476
333000,168.583118
333500,169.558007
334000,166.333729
334500,148.141295
335000,171.684815
335500,171.044018
336000,171.277792
336500,169.633661
337000,165.880587
337500,170.27292
338000,167.40044
338500,162.029052
339000,171.732982
339500,169.015526
340000,171.077233
340500,170.774721
341000,172.014576
341500,173.295096
342000,170.042354
342500,172.289833
343000,173.964898
343500,142.413781
344000,172.806337
344500,172.261612
345000,171.959448
345500,173.863925
346000,172.091103
346500,173.93304
347000,172.559525
347500,172.724986
348000,174.017616
348500,172.946199
349000,170.449809
349500,169.878167
350000,172.512495
350500,170.007876
351000,172.248271
351500,168.230626
352000,171.827633
352500,165.35118
353000,172.716225
353500,170.43549
354000,172.139009
354500,172.367877
355000,173.197425
355500,172.827709
356000,173.277313
356500,174.158359
357000,175.52101
357500,174.446011
358000,173.431421
358500,173.975843
359000,174.663533
359500,174.174465
360000,174.65671
360500,174.437577
361000,174.729393
361500,151.338124
362000,172.094195
362500,171.735651
363000,171.577256
363500,175.531327
364000,172.497091
364500,175.78298
365000,172.905918
365500,175.581291
366000,174.416603
366500,174.040956
367000,173.536129
367500,175.224968
368000,173.471259
368500,175.741213
369000,172.555465
369500,171.757488
370000,175.223976
370500,171.980079
371000,172.839142
371500,175.100346
372000,172.821012
372500,175.344647
373000,173.142698
373500,176.094185
374000,175.350423
374500,174.26134
375000,174.240464
375500,173.364645
376000,174.731061
376500,174.116207
377000,174.748296
377500,174.262464
378000,176.203712
378500,176.193029
379000,176.031775
379500,176.913535
380000,175.055603
380500,174.207148
381000,177.233719
381500,177.702371
382000,176.059234
382500,176.998623
383000,177.643246
383500,177.206179
384000,178.319437
384500,177.511148
385000,176.815263
385500,177.496057
386000,178.840099
386500,177.414411
387000,178.422139
387500,178.638707
388000,179.28103
388500,176.297907
389000,177.58239
389500,178.357052
390000,178.739654
390500,167.027734
391000,177.674673
391500,180.009356
392000,179.360926
392500,177.591837
393000,176.191986
393500,142.181197
394000,177.718936
394500,180.457167
395000,178.417857
395500,180.359682
396000,178.628186
396500,174.224476
397000,178.955228
397500,178.171012
398000,179.175318
398500,179.670789
399000,179.914286
399500,172.698623
400000,180.897149
